country,sex,age,marriage_duration,n_children,n_broughtup_children,education,material_status,religion,religiousity,pension,mrq,kansas,age_at_marriage
Brazil,female,39,16,3,2,2,3,2.0,7,1,1.0,7.0,23
Brazil,male,43,6,1,0,5,2,2.0,4,6,1.0,7.0,37
Brazil,male,48,15,1,0,5,3,2.0,4,2,1.7777777777777777,6.0,33
Brazil,male,31,3,0,0,5,2,2.0,4,2,1.0,7.0,28
Brazil,male,43,22,2,1,3,3,2.0,6,6,1.1111111111111112,6.666666666666667,21
Brazil,male,33,7,2,2,5,3,2.0,5,1,1.1111111111111112,6.333333333333333,26
Brazil,male,42,24,2,2,4,3,2.0,4,2,1.1111111111111112,5.666666666666667,18
Brazil,female,53,27,3,0,4,3,2.0,6,2,1.3333333333333333,6.333333333333333,26
Brazil,male,30,2,0,0,5,1,2.0,4,2,2.111111111111111,4.0,28
Brazil,male,44,27,3,0,3,3,2.0,6,5,1.0,7.0,17
Brazil,male,38,16,3,2,2,3,2.0,7,1,1.0,7.0,22
Brazil,male,30,7,2,1,5,3,2.0,4,6,4.0,2.0,23
Brazil,female,32,7,1,6,5,3,2.0,4,7,1.0,7.0,25
Brazil,male,30,4,0,0,5,1,2.0,2,1,1.1111111111111112,5.333333333333333,26
Brazil,male,40,23,2,2,5,3,2.0,4,6,1.2222222222222223,5.666666666666667,17
Brazil,male,44,14,1,1,5,2,2.0,5,6,1.0,7.0,30
Brazil,male,42,15,2,2,5,3,2.0,5,4,1.0,7.0,27
Brazil,male,30,2,1,1,5,3,2.0,5,7,1.8888888888888888,3.6666666666666665,28
Brazil,female,34,4,1,1,5,3,2.0,4,6,1.1111111111111112,6.666666666666667,30
Brazil,male,41,13,2,2,5,1,2.0,1,2,1.2222222222222223,6.333333333333333,28
Brazil,male,28,2,0,0,5,3,2.0,3,2,1.0,7.0,26
Brazil,female,27,1,1,0,5,3,2.0,4,4,1.1111111111111112,7.0,26
Brazil,female,49,27,2,0,5,1,2.0,4,3,1.2222222222222223,7.0,22
Brazil,male,52,33,2,0,5,2,2.0,5,2,2.5555555555555554,4.333333333333333,19
Brazil,male,33,18,3,3,4,3,2.0,4,1,1.2222222222222223,4.666666666666667,15
Brazil,male,29,4,0,0,5,3,2.0,4,4,1.0,7.0,25
Brazil,male,20,3,0,0,4,3,2.0,6,7,1.6666666666666667,5.0,17
Brazil,female,38,4,0,0,5,1,2.0,6,3,1.1111111111111112,7.0,34
Brazil,male,44,14,0,0,5,2,2.0,4,2,1.0,7.0,30
